Insectendoos_label|Insectendoos_toelichting|AangegevenTaxon|aantal
01-01|Schenking H. Bosz; Carabidae 5|Carabus anatolicus|8
01-01|Schenking H. Bosz; Carabidae 5|Carabus albrechti okumurai|4
01-01|Schenking H. Bosz; Carabidae 5|Carabus awashimae|2
01-01|Schenking H. Bosz; Carabidae 5|Carabus rumelicus|1
01-01|Schenking H. Bosz; Carabidae 5|Carabus morio|5
01-01|Schenking H. Bosz; Carabidae 5|Carabus irmasanus|2
01-01|Schenking H. Bosz; Carabidae 5|Carabus torosus|1
01-01|Schenking H. Bosz; Carabidae 5|Paussus favieri|2
01-01|Schenking H. Bosz; Carabidae 5|Cychrus angustatus|2
01-01|Schenking H. Bosz; Carabidae 5|Cychrus cylindricollis|1
01-01|Schenking H. Bosz; Carabidae 5|Cychrus caraboides|8
01-01|Schenking H. Bosz; Carabidae 5|Cychrus attenuatus|8
01-01|Schenking H. Bosz; Carabidae 5|Cychrus italicus|6
01-01|Schenking H. Bosz; Carabidae 5|Cychrus schmidti|1
01-02|Schenking H. Bosz; Carabidae 6|Leistus spinibarbis|9
01-02|Schenking H. Bosz; Carabidae 6|Leistus rufomarginatus|10
01-02|Schenking H. Bosz; Carabidae 6|Leistus fulvibarbis|4
01-02|Schenking H. Bosz; Carabidae 6|Leistus ferrugineus|10
01-02|Schenking H. Bosz; Carabidae 6|Leistus terminatus|10
01-02|Schenking H. Bosz; Carabidae 6|Leistus montanus|2
01-02|Schenking H. Bosz; Carabidae 6|Erynebria complanata|5
01-02|Schenking H. Bosz; Carabidae 6|Nebria livida|10
01-02|Schenking H. Bosz; Carabidae 6|Nebria picicornis|8
01-02|Schenking H. Bosz; Carabidae 6|Nebria psammodes|8
01-02|Schenking H. Bosz; Carabidae 6|Nebria jockischi|3
01-02|Schenking H. Bosz; Carabidae 6|Nebria rufescens|10
01-02|Schenking H. Bosz; Carabidae 6|Nebria brevicollis|8
01-02|Schenking H. Bosz; Carabidae 6|Nebria salina|8
01-02|Schenking H. Bosz; Carabidae 6|Nebria lafresnayei|10
01-02|Schenking H. Bosz; Carabidae 6|Nebria rubripes|1
01-02|Schenking H. Bosz; Carabidae 6|Nebria laticollis|1
01-02|Schenking H. Bosz; Carabidae 6|Nebria pictiventris|3
01-02|Schenking H. Bosz; Carabidae 6|Nebria hemprichi|5
01-02|Schenking H. Bosz; Carabidae 6|Nebria germari|2
01-02|Schenking H. Bosz; Carabidae 6|Nebria castanea|10
01-02|Schenking H. Bosz; Carabidae 6|Nebria testacea|2
01-02|Schenking H. Bosz; Carabidae 6|Nebria aetolica|2
01-02|Schenking H. Bosz; Carabidae 6|Nebria diaphana|10
01-02|Schenking H. Bosz; Carabidae 6|Notiophilus aquaticus|11
01-02|Schenking H. Bosz; Carabidae 6|Notiophilus palustris|10
01-02|Schenking H. Bosz; Carabidae 6|Notiophilus germinyi|1
01-02|Schenking H. Bosz; Carabidae 6|Notiophilus laticollis|3
01-02|Schenking H. Bosz; Carabidae 6|Notiophilus substriatus|2
01-02|Schenking H. Bosz; Carabidae 6|Notiophilus biguttatus|1
01-02|Schenking H. Bosz; Carabidae 6|Omophron variegatum|1
01-02|Schenking H. Bosz; Carabidae 6|Omophron limbatum|10
01-02|Schenking H. Bosz; Carabidae 6|Blethisa multipunctata|8
01-02|Schenking H. Bosz; Carabidae 6|Elephrus pyrenoeus|12
01-02|Schenking H. Bosz; Carabidae 6|Elephrus cupreus|8
01-02|Schenking H. Bosz; Carabidae 6|Elephrus ruparius|8
01-02|Schenking H. Bosz; Carabidae 6|Elephrus aureus|10
01-02|Schenking H. Bosz; Carabidae 6|Elephrus ullrichi|1
01-02|Schenking H. Bosz; Carabidae 6|Loricera pilicornis|8
01-02|Schenking H. Bosz; Carabidae 6|Scarites terricola|8
01-02|Schenking H. Bosz; Carabidae 6|Scarites laevigatus|8
01-02|Schenking H. Bosz; Carabidae 6|Scarites planus|2
01-02|Schenking H. Bosz; Carabidae 6|Scarites buparius|2
01-02|Schenking H. Bosz; Carabidae 6|Scarites eurytus|1
01-02|Schenking H. Bosz; Carabidae 6|Scarites occidentalis|2
01-02|Schenking H. Bosz; Carabidae 6|Scarites subcylindricus|2
01-02|Schenking H. Bosz; Carabidae 6|Clivina fossor|4
01-02|Schenking H. Bosz; Carabidae 6|Clivina collaris|9
01-02|Schenking H. Bosz; Carabidae 6|Clivina ypsilon|8
01-02|Schenking H. Bosz; Carabidae 6|Clivina laevifrons|1
01-02|Schenking H. Bosz; Carabidae 6|Nebria hellwigi|1
01-02|Schenking H. Bosz; Carabidae 6|Nebria hybrida|1
01-02|Schenking H. Bosz; Carabidae 6|Nebria dahli|2
01-03|Schenking H. Bosz.; Carabidae 7|Dyschirius thoracicus|9
01-03|Schenking H. Bosz.; Carabidae 7|Dyschirius obscurus|8
01-03|Schenking H. Bosz.; Carabidae 7|Dyschirius nitidus|2
01-03|Schenking H. Bosz.; Carabidae 7|Dyschirius politus|6
01-03|Schenking H. Bosz.; Carabidae 7|Dyschirius salinus|11
01-03|Schenking H. Bosz.; Carabidae 7|Dyschirius aeneus|2
01-03|Schenking H. Bosz.; Carabidae 7|Dyschirius leudersi|2
01-03|Schenking H. Bosz.; Carabidae 7|Dyschirius intermedius|1
01-03|Schenking H. Bosz.; Carabidae 7|Dyschirius laeviusculus|5
01-03|Schenking H. Bosz.; Carabidae 7|Dyschirius substriatus|1
01-03|Schenking H. Bosz.; Carabidae 7|Dyschirius cylindricus|4
01-03|Schenking H. Bosz.; Carabidae 7|Dyschirius agnatus|12
01-03|Schenking H. Bosz.; Carabidae 7|Dyschirius luticola|2
01-03|Schenking H. Bosz.; Carabidae 7|Dyschirius morio|1
01-03|Schenking H. Bosz.; Carabidae 7|Dyschirius globosus|7
01-03|Schenking H. Bosz.; Carabidae 7|Dyschirius numidicus|10
01-03|Schenking H. Bosz.; Carabidae 7|Dyschirius chalybaeus|3
01-03|Schenking H. Bosz.; Carabidae 7|Broscosoma relictum|2
01-03|Schenking H. Bosz.; Carabidae 7|Broscus cephalotus|6
01-03|Schenking H. Bosz.; Carabidae 7|Perileptus areolatus|12
01-03|Schenking H. Bosz.; Carabidae 7|Aepus marinus|2
01-03|Schenking H. Bosz.; Carabidae 7|Trechus quadristriatus|4
01-03|Schenking H. Bosz.; Carabidae 7|Trechus obtusus|3
01-03|Schenking H. Bosz.; Carabidae 7|Trechus alpicola|1
01-03|Schenking H. Bosz.; Carabidae 7|Trechus cardioderus|1
01-03|Schenking H. Bosz.; Carabidae 7|Trechus pulchellus|1
01-03|Schenking H. Bosz.; Carabidae 7|Trechus glacialis|4
01-03|Schenking H. Bosz.; Carabidae 7|Trechus fairmairei|7
01-03|Schenking H. Bosz.; Carabidae 7|Trechus gracilitarsis|4
01-03|Schenking H. Bosz.; Carabidae 7|Trechus putzeysi|1
01-03|Schenking H. Bosz.; Carabidae 7|Trechus mallaszianus|2
01-03|Schenking H. Bosz.; Carabidae 7|Trechus asiaticus|14
01-03|Schenking H. Bosz.; Carabidae 7|Lasiotrechus discus|8
01-03|Schenking H. Bosz.; Carabidae 7|Trechoblemus micros|2
01-03|Schenking H. Bosz.; Carabidae 7|Siagona europaea|3
01-03|Schenking H. Bosz.; Carabidae 7|Broscus nobilis|10
01-03|Schenking H. Bosz.; Carabidae 7|Trechus secalis|1
01-04|Schenking H. Bosz.; Carabidae 9|Binaghites armellinae|1
01-04|Schenking H. Bosz.; Carabidae 9|Tachyta nana|21
01-04|Schenking H. Bosz.; Carabidae 9|Tachys haemorrhoidalis|7
01-04|Schenking H. Bosz.; Carabidae 9|Tachys diabrachys|10
01-04|Schenking H. Bosz.; Carabidae 9|Tachys bistriatus|3
01-04|Schenking H. Bosz.; Carabidae 9|Tachys micros|8
01-04|Schenking H. Bosz.; Carabidae 9|Tachys scutellaris|12
01-04|Schenking H. Bosz.; Carabidae 9|Tachys parvulus|8
01-04|Schenking H. Bosz.; Carabidae 9|Tachys centriustatus|3
01-04|Schenking H. Bosz.; Carabidae 9|Tachys quadrisignatus|12
01-04|Schenking H. Bosz.; Carabidae 9|Tachys centromaculatus|2
01-04|Schenking H. Bosz.; Carabidae 9|Tachys bisulcatus|9
01-04|Schenking H. Bosz.; Carabidae 9|Tachys sextriatus|12
01-04|Schenking H. Bosz.; Carabidae 9|Tachys lucasii|4
01-04|Schenking H. Bosz.; Carabidae 9|Tachys ferrugata|1
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion striatum|10
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion foraminosum|1
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion argenteolum|10
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion velox|10
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion littorale|10
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion pygmaeum|1
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion leucoscelis|1
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion nigricorne|8
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion lampros|8
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion properans|12
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion punctulatum|12
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion pallidipenne|8
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion bipunctatum|8
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion obliquum|1
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion varium|8
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion semipunctatum|10
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion ephippium|10
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion tibiale|12
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion geniculatum|12
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion atrocoeruleum|9
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion concoeruleum|7
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion varicolor|12
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion conforme|12
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion fasciolatum|2
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion ascendens|10
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion bugnioni|8
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion coeruleum|12
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion monticola|1
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion eques|8
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion deletum|12
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion incognitum|9
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion stephensi|10
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion milleri|7
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion lunatum|1
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion bruxellense|5
01-04|Schenking H. Bosz.; Carabidae 9|Bembidion tetracolum|12
